"","TSM","AMAT","ASML","LRCX","NVDA","AMD","ARM","AVGO","RBLX","U","META","SNAP","ROKU","CFLT","DDOG","MDB","CRWD","GTLB","DUOL","SOUN","PLTR","IOT","TAL","EDU","GOTU","PDD","CEG","GEV","VST","VRT","TNDM","PODD","DXCM","SOFI","AFRM","UPST","PYPL","SQ","FSLR","ENPH","SEDG","PLUG","BE","EVGO","CHPT","NIO","ASTS","RKLB","LUNR","RDW","PL","SMR","OKLO","LEU","CCJ","COHR","CRDO","LITE","MSFT","AAPL","GOOG","AMZN","TSLA","LLY","NVO","AMGN","HALO","EOLS","WBTN","CELH","CVNA","ELF","LULU","UBER","LYFT","INTC","D","TEM","ABSI","RXRX"
"2025-Q1","2025-01-15","2025-02-12","2025-01-28","2025-01-28","2025-02-25","2025-02-03","2025-02-04","2025-03-05","2025-02-05","2025-02-19","2025-01-28","2025-02-03","2025-02-13","2025-02-10","2025-02-12","2025-03-04","2025-03-02","2025-03-03","2025-02-26","2025-02-25","2025-02-02","2025-03-05","2025-01-22","2025-01-20",NA,"2025-03-17",NA,"2025-01-21","2025-02-26","2025-02-11","2025-02-25","2025-02-19","2025-02-12","2025-01-26","2025-02-05","2025-02-10","2025-02-03",NA,"2025-02-24","2025-02-03","2025-02-18","2025-02-26","2025-02-26","2025-03-03","2025-03-02","2025-03-02","2025-03-30","2025-02-26",NA,NA,"2025-03-25","2025-02-26","2025-03-26","2025-02-05","2025-02-19","2025-02-04","2025-02-24","2025-02-05","2025-01-28","2025-01-29","2025-02-03","2025-02-05","2025-01-28","2025-02-05","2025-02-04","2025-02-03","2025-02-17","2025-03-04","2025-02-24","2025-02-25","2025-02-18","2025-02-05","2025-03-18","2025-02-04","2025-02-10","2025-01-29","2025-02-11","2025-01-12","2025-03-18","2025-02-24"
"2024-Q4","2024-10-16","2024-11-13","2024-10-14","2024-10-22","2024-11-19","2024-10-28","2024-11-05","2024-12-11","2024-10-30","2024-11-06","2024-10-29","2024-10-28","2024-10-29","2024-10-29","2024-11-06","2024-12-08","2024-11-25","2024-12-04","2024-11-05","2024-11-11","2024-11-03","2024-12-04","2024-10-23","2024-10-22","2024-12-03","2024-11-20","2024-11-03","2024-10-22","2024-11-06","2024-10-22","2024-11-05","2024-11-06","2024-10-23","2024-10-28","2024-11-06","2024-11-06","2024-10-28","2024-11-06","2024-10-28","2024-10-21","2024-11-05","2024-11-11","2024-11-06","2024-11-11","2024-12-03","2024-11-19","2024-11-13","2024-11-11","2024-11-13","2024-11-05","2024-12-08","2024-11-06","2024-11-13","2024-10-27","2024-11-06","2024-11-05","2024-12-01","2024-11-06","2024-10-29","2024-10-30","2024-10-28","2024-10-30","2024-10-22","2024-10-29","2024-11-05","2024-10-29","2024-10-30","2024-11-05","2024-11-06","2024-11-05","2024-10-29","2024-11-05","2024-12-04","2024-10-30","2024-11-05","2024-10-30","2024-10-31","2024-11-03","2024-11-11","2024-11-05"
"2024-Q3","2024-07-18","2024-08-14","2024-07-16","2024-07-30","2024-08-27","2024-07-29","2024-07-30","2024-09-04","2024-07-31","2024-08-07","2024-07-30","2024-07-31","2024-07-31","2024-07-30","2024-08-07","2024-08-28","2024-08-27","2024-09-02","2024-08-06","2024-08-07","2024-08-04","2024-09-04","2024-07-31","2024-07-30","2024-08-26","2024-08-25","2024-08-05","2024-07-23","2024-08-07","2024-07-23","2024-07-31","2024-08-07","2024-07-24","2024-07-29","2024-08-27","2024-08-05","2024-07-29","2024-07-31","2024-07-29","2024-07-22","2024-08-06","2024-08-07","2024-08-07","2024-07-31","2024-09-03","2024-09-04","2024-08-13","2024-08-07","2024-08-12","2024-08-06","2024-09-04","2024-08-07","2024-08-13","2024-08-05","2024-07-30","2024-08-14","2024-09-03","2024-08-13","2024-07-29","2024-07-31","2024-07-22","2024-07-31","2024-07-22","2024-08-07","2024-08-06","2024-08-05","2024-08-05","2024-07-30","2024-08-07","2024-08-05","2024-07-30","2024-08-07","2024-08-28","2024-08-05","2024-08-06","2024-07-31","2024-07-31","2024-08-06","2024-08-13","2024-08-07"
"2024-Q2","2024-04-17","2024-05-15","2024-04-16","2024-04-23","2024-05-21","2024-04-29","2024-05-07","2024-06-11","2024-05-08","2024-05-08","2024-04-23","2024-04-24","2024-04-24","2024-05-06","2024-05-06","2024-05-29","2024-06-03","2024-06-02","2024-05-07","2024-05-08","2024-05-05","2024-06-05","2024-04-24","2024-04-23","2024-05-20","2024-05-21","2024-05-08","2024-04-24","2024-05-07","2024-04-23","2024-05-01","2024-05-08","2024-04-24","2024-04-28","2024-05-07","2024-05-06","2024-04-29","2024-05-01","2024-04-30","2024-04-22","2024-05-07","2024-05-08","2024-05-08","2024-05-06","2024-06-04","2024-06-05","2024-05-14","2024-05-05","2024-05-13","2024-05-07","2024-06-05","2024-05-08",NA,"2024-05-06","2024-04-29","2024-05-05","2024-05-28","2024-05-05","2024-04-24","2024-05-01","2024-04-24","2024-04-29","2024-04-22","2024-04-29","2024-05-01","2024-05-01","2024-05-06","2024-05-06","2024-06-30","2024-05-06","2024-04-30","2024-05-21","2024-06-04","2024-05-07","2024-05-06","2024-04-24","2024-05-01","2024-06-16","2024-05-13","2024-05-08"
"2024-Q1","2024-01-17","2024-02-14","2024-01-23","2024-01-23","2024-02-20","2024-01-29","2024-02-06","2024-03-06","2024-02-06","2024-02-25","2024-01-31","2024-02-05","2024-02-14","2024-02-06","2024-02-12","2024-03-06","2024-03-04","2024-03-03","2024-02-27","2024-02-28","2024-02-04","2024-03-06","2024-01-24","2024-01-23","2024-02-26","2024-03-19","2024-02-26","2024-03-12","2024-02-27","2024-02-20","2024-02-20","2024-02-21","2024-02-07","2024-01-28","2024-02-07","2024-02-12","2024-02-06","2024-02-21","2024-02-26","2024-02-05","2024-02-19","2024-02-28","2024-02-14","2024-03-05","2024-03-04","2024-03-04","2024-03-31","2024-02-26","2024-03-20","2024-03-13","2024-03-27","2024-03-13",NA,"2024-02-07","2024-02-07","2024-02-04","2024-02-26","2024-02-07","2024-01-29","2024-01-31","2024-01-29","2024-01-31","2024-01-23","2024-02-05","2024-01-30","2024-02-05","2024-02-19","2024-03-06",NA,"2024-02-28","2024-02-21","2024-02-05","2024-03-20","2024-02-06","2024-02-12","2024-01-24","2024-02-21",NA,"2024-03-20","2024-02-26"
"2023-Q4","2023-10-18","2023-11-15","2023-10-17","2023-10-17","2023-11-20","2023-10-30","2023-11-07","2023-12-06","2023-11-07","2023-11-08","2023-10-24","2023-10-23","2023-10-31","2023-10-31","2023-11-06","2023-12-04","2023-11-27","2023-12-03","2023-11-07","2023-11-09","2023-11-01","2023-11-29","2023-10-25","2023-10-24","2023-11-21","2023-11-27","2023-11-05",NA,"2023-11-06","2023-10-24","2023-10-31","2023-11-01","2023-10-25","2023-10-29","2023-11-07","2023-11-06","2023-10-31","2023-11-01","2023-10-30","2023-10-25","2023-10-31","2023-11-08","2023-11-07","2023-11-07","2023-12-05","2023-12-04","2023-11-13","2023-11-07","2023-11-12","2023-11-05","2023-12-06","2023-11-07",NA,"2023-11-06","2023-10-30","2023-11-05","2023-11-28","2023-11-07","2023-10-23","2023-11-01","2023-10-23","2023-10-25","2023-10-17","2023-11-01","2023-11-01","2023-10-30","2023-11-05","2023-11-06",NA,"2023-11-06","2023-11-01","2023-10-31","2023-12-06","2023-11-06","2023-11-07","2023-10-25","2023-11-02",NA,"2023-11-13","2023-11-08"
"2023-Q3","2023-07-19","2023-08-16","2023-07-18","2023-07-25","2023-08-22","2023-07-31","2023-09-13","2023-08-30","2023-08-08","2023-08-01","2023-07-25","2023-07-24","2023-07-26","2023-08-01","2023-08-07","2023-08-30","2023-08-29","2023-09-04","2023-08-07","2023-08-07","2023-08-06","2023-08-30","2023-07-26","2023-07-25","2023-08-29","2023-08-28","2023-08-02",NA,"2023-08-08","2023-08-01","2023-08-02","2023-08-07","2023-07-26","2023-07-30","2023-08-23","2023-08-07","2023-08-01","2023-08-02","2023-07-26","2023-07-26","2023-07-31","2023-08-08","2023-08-02","2023-08-01","2023-09-05",NA,"2023-08-15","2023-08-07","2023-08-13","2023-08-06","2023-09-06","2023-08-08",NA,"2023-08-02","2023-08-01","2023-08-14","2023-08-23","2023-08-16","2023-07-24","2023-08-02","2023-07-24","2023-08-02","2023-07-18","2023-08-07","2023-09-10","2023-08-02","2023-08-07","2023-08-01",NA,"2023-08-07","2023-07-18","2023-07-31","2023-08-30","2023-07-31","2023-08-07","2023-07-26","2023-08-03",NA,"2023-08-13","2023-08-07"
"2023-Q2","2023-04-19","2023-05-17","2023-05-16","2023-04-18","2023-05-23","2023-05-01",NA,"2023-05-31","2023-05-09","2023-05-09","2023-04-25","2023-04-26","2023-04-25","2023-05-02","2023-05-03","2023-05-31","2023-05-30","2023-06-04","2023-05-08","2023-05-10","2023-05-07","2023-05-31","2023-04-26","2023-04-18","2023-05-29","2023-05-25","2023-05-03",NA,"2023-05-08","2023-04-25","2023-05-02","2023-05-03","2023-04-26","2023-04-30","2023-05-08","2023-05-08","2023-05-07","2023-05-03","2023-04-26","2023-04-24","2023-05-02","2023-05-08","2023-05-08","2023-05-08","2023-05-31","2023-06-08","2023-05-14","2023-05-08",NA,"2023-05-11","2023-06-07","2023-05-08",NA,"2023-05-07","2023-04-27","2023-05-09","2023-05-30","2023-05-08","2023-04-24","2023-05-03","2023-04-24","2023-04-26","2023-04-18","2023-04-26","2023-05-03","2023-04-26","2023-05-08","2023-05-08",NA,"2023-05-08","2023-05-03","2023-05-23","2023-05-31","2023-05-01","2023-05-03","2023-04-26","2023-05-04",NA,"2023-05-14","2023-05-07"
"2023-Q1","2023-01-11","2023-02-15","2023-01-24","2023-01-24","2023-02-21","2023-01-30",NA,"2023-03-01","2023-02-14","2023-02-21","2023-01-31","2023-01-30","2023-02-14","2023-01-29","2023-02-15","2023-03-07","2023-03-06","2023-03-12","2023-02-27","2023-03-06","2023-02-12","2023-03-01","2023-01-18","2023-01-16","2023-02-27","2023-03-19","2023-02-15",NA,"2023-02-28","2023-02-21","2023-02-21","2023-02-22","2023-02-08","2023-01-29","2023-02-07","2023-02-13","2023-02-08","2023-02-22","2023-02-27","2023-02-06","2023-02-12","2023-02-28","2023-02-08","2023-03-29","2023-03-01","2023-02-28","2023-03-30","2023-02-27",NA,"2023-03-28","2023-03-28","2023-03-14",NA,"2023-02-20","2023-02-08","2023-02-07","2023-02-28","2023-02-08","2023-01-23","2023-02-01","2023-02-01","2023-02-01","2023-01-24","2023-02-01","2023-01-31","2023-01-30","2023-02-20","2023-03-07",NA,"2023-02-28","2023-02-22","2023-01-31","2023-03-27","2023-02-07","2023-02-08","2023-01-25","2023-02-07",NA,"2023-03-29","2023-02-26"
"2022-Q4","2022-10-12","2022-11-16","2022-10-18","2022-10-18","2022-11-15","2022-10-31",NA,"2022-12-07","2022-11-08","2022-11-08","2022-10-25","2022-10-19","2022-11-01","2022-11-01","2022-11-02","2022-12-05","2022-11-28","2022-12-04","2022-11-09","2022-11-09","2022-11-06","2022-11-30","2022-10-27","2022-10-25","2022-11-21","2022-11-27","2022-11-07",NA,"2022-11-03","2022-10-25","2022-11-01","2022-11-02","2022-10-26","2022-10-31","2022-11-07","2022-11-07","2022-11-02","2022-11-02","2022-10-26","2022-10-24","2022-11-06","2022-11-07","2022-11-02","2022-11-01","2022-11-30","2022-11-09","2022-11-13","2022-11-08","2022-11-09","2022-11-07","2022-12-13","2022-11-10",NA,"2022-11-07","2022-10-26","2022-11-08","2022-11-29","2022-11-07","2022-10-24","2022-10-26","2022-10-24","2022-10-26","2022-10-18","2022-10-31","2022-11-01","2022-11-02","2022-11-07","2022-11-07",NA,"2022-11-08","2022-11-02","2022-11-01","2022-12-07","2022-10-31","2022-11-06","2022-10-26","2022-11-03",NA,"2022-11-08","2022-11-07"
